candidate_rank,ID,Name,Role,decision,predicted_decision,prediction_confidence,skill_match_score,text_similarity_score,overall_match_score,selection_probability,candidate_score,recommendation,matched_skills_text,missing_skills_text,explanation_summary
80,diyagu17,diya gupta,software engineer,reject,select,59.13,100.0,12.39,47.43,59.13,68.17,Recommended,"git, java",None,This candidate shows good potential and is suitable for further evaluation.
81,danimc656,Daniel Mcmahon,Machine Learning Engineer,reject,select,65.62,100.0,7.57,44.54,65.62,68.17,Recommended,machine learning,None,This candidate shows good potential and is suitable for further evaluation.
82,kabiiy586,kabir iyer,product manager,select,select,52.42,100.0,17.26,50.36,52.42,68.15,Recommended,data analysis,None,This candidate shows good potential and is suitable for further evaluation.
83,kabish298,kabir sharma,ui engineer,select,select,53.34,100.0,16.37,49.82,53.34,68.09,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
84,ishaka309,ishaan kapoor,software engineer,reject,select,57.89,100.0,12.96,47.78,57.89,68.08,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
85,uppaup464,Eve Smith,UI Engineer,reject,reject,58.77,100.0,25.26,55.16,41.23,68.07,Recommended,"git, javascript",None,This candidate shows good potential and is suitable for further evaluation.
86,anthgr755,Anthony Graham,DevOps Engineer,select,select,61.31,100.0,10.41,46.25,61.31,68.07,Recommended,docker,None,This candidate shows good potential and is suitable for further evaluation.
87,wendmu885,Wendy Murphy,Data Analyst,reject,select,67.46,100.0,5.82,43.49,67.46,68.06,Recommended,data science,None,This candidate shows good potential and is suitable for further evaluation.
88,richsm778,Richard Smith,Full Stack Developer,select,select,51.97,100.0,17.16,50.3,51.97,68.03,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
89,aditgu568,aditya gupta,product manager,reject,select,56.94,100.0,13.43,48.06,56.94,68.02,Recommended,data analysis,None,This candidate shows good potential and is suitable for further evaluation.
90,madist133,madison stephens,software engineer,select,reject,50.03,100.0,18.58,51.15,49.97,68.01,Recommended,python,None,This candidate shows good potential and is suitable for further evaluation.
91,tracmo329,Tracy Moore,Machine Learning Engineer,select,select,58.45,100.0,12.19,47.31,58.45,67.98,Recommended,"feature engineering, machine learning, python, pytorch",None,This candidate shows good potential and is suitable for further evaluation.
92,aarame513,aarav mehta,data scientist,select,select,57.28,100.0,12.86,47.72,57.28,67.93,Recommended,"deep learning, statistics",None,This candidate shows good potential and is suitable for further evaluation.
93,durgba062,Thomas Cline,Software Engineer,select,reject,51.3,100.0,19.2,51.52,48.7,67.92,Recommended,api,None,This candidate shows good potential and is suitable for further evaluation.
94,mirash643,mira sharma,data engineer,reject,select,65.95,100.0,6.32,43.79,65.95,67.9,Recommended,"aws, docker, kubernetes, sql",None,This candidate shows good potential and is suitable for further evaluation.
95,jonaco873,Jonathan Cooke,Data Architect,reject,select,54.47,100.0,14.84,48.9,54.47,67.9,Recommended,etl,None,This candidate shows good potential and is suitable for further evaluation.
96,daisro162,Daisy Rodriguez,AI Researcher,select,select,54.21,100.0,14.98,48.99,54.21,67.89,Recommended,pytorch,None,This candidate shows good potential and is suitable for further evaluation.
97,kathho389,Kathy Hopkins,Cloud Architect,select,select,57.23,100.0,12.76,47.66,57.23,67.89,Recommended,"aws, gcp",None,This candidate shows good potential and is suitable for further evaluation.
98,anangu51,ananya gupta,software engineer,select,select,62.44,100.0,8.9,45.34,62.44,67.89,Recommended,"git, javascript",None,This candidate shows good potential and is suitable for further evaluation.
99,ishaka605,ishaan kapoor,data engineer,reject,select,61.67,100.0,9.44,45.66,61.67,67.88,Recommended,"aws, etl, kubernetes",None,This candidate shows good potential and is suitable for further evaluation.
100,jessfe435,Jessica Ferguson,Machine Learning Engineer,reject,select,63.97,100.0,7.69,44.61,63.97,67.87,Recommended,machine learning,None,This candidate shows good potential and is suitable for further evaluation.
101,markwo178,Mark Wood,Machine Learning Engineer,reject,select,61.86,100.0,9.18,45.51,61.86,67.85,Recommended,machine learning,None,This candidate shows good potential and is suitable for further evaluation.
102,harssh905,harshitha sharma,data engineer,select,select,61.92,100.0,9.13,45.48,61.92,67.85,Recommended,"aws, etl, python",None,This candidate shows good potential and is suitable for further evaluation.
103,alexne807,Alexander Nelson,Full Stack Developer,reject,select,51.84,100.0,16.54,49.92,51.84,67.83,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
104,caroev588,Caroline Evans,Machine Learning Engineer,reject,select,61.6,100.0,9.29,45.57,61.6,67.83,Recommended,"data science, machine learning",None,This candidate shows good potential and is suitable for further evaluation.
105,darrba132,Darrell Barrett,Machine Learning Engineer,reject,select,60.43,100.0,10.13,46.08,60.43,67.82,Recommended,"data analysis, machine learning",None,This candidate shows good potential and is suitable for further evaluation.
106,noahmo129,noah montgomery,data engineer,reject,reject,51.9,100.0,19.25,51.55,48.1,67.82,Recommended,"etl, mlops, spark",None,This candidate shows good potential and is suitable for further evaluation.
107,amyca378,Amy Campbell,DevOps Engineer,select,select,59.03,100.0,11.08,46.65,59.03,67.8,Recommended,docker,None,This candidate shows good potential and is suitable for further evaluation.
108,jennwr203,Jennifer Wright,AI Researcher,select,select,61.48,100.0,9.27,45.56,61.48,67.8,Recommended,data science,None,This candidate shows good potential and is suitable for further evaluation.
109,adamde338,Adam Delgado,Software Engineer,select,select,63.04,100.0,8.1,44.86,63.04,67.8,Recommended,"java, python",None,This candidate shows good potential and is suitable for further evaluation.
110,mirash960,mira sharma,software engineer,select,select,60.62,100.0,9.83,45.9,60.62,67.78,Recommended,"java, javascript",None,This candidate shows good potential and is suitable for further evaluation.
111,taylra368,taylor ramirez,ui engineer,reject,reject,59.03,100.0,24.36,54.62,40.97,67.77,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
112,lancfa779,Lance Farley,Machine Learning Engineer,select,select,60.57,100.0,9.83,45.9,60.57,67.77,Recommended,machine learning,None,This candidate shows good potential and is suitable for further evaluation.
113,robeca166,robert castillo,product manager,reject,select,51.56,100.0,16.5,49.9,51.56,67.77,Recommended,data analysis,None,This candidate shows good potential and is suitable for further evaluation.
114,ishash927,ishaan sharma,data scientist,reject,select,63.2,100.0,7.87,44.72,63.2,67.76,Recommended,"python, tensorflow",None,This candidate shows good potential and is suitable for further evaluation.
115,kabich167,kabir chopra,data scientist,select,select,58.8,100.0,11.1,46.66,58.8,67.76,Recommended,"deep learning, statistics",None,This candidate shows good potential and is suitable for further evaluation.
116,harsjo785,harshitha joshi,ui engineer,reject,select,52.15,100.0,15.97,49.58,52.15,67.74,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
117,heatvi321,Heather Villa,Full Stack Developer,reject,select,50.17,100.0,17.38,50.43,50.17,67.73,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
118,diyaka783,diya kapoor,data scientist,select,select,60.58,100.0,9.63,45.78,60.58,67.72,Recommended,"data visualization, machine learning, sql, tensorflow",None,This candidate shows good potential and is suitable for further evaluation.
119,karemo893,Karen Moore,AI Researcher,select,reject,50.88,100.0,18.14,50.88,49.12,67.72,Recommended,pytorch,None,This candidate shows good potential and is suitable for further evaluation.
120,harsch764,harshitha chopra,data engineer,select,select,60.15,100.0,9.95,45.97,60.15,67.72,Recommended,"aws, docker",None,This candidate shows good potential and is suitable for further evaluation.
121,durgba171,Kayla Burch,Data Scientist,reject,reject,54.64,100.0,20.88,52.53,45.36,67.71,Recommended,"data visualization, deep learning, machine learning",None,This candidate shows good potential and is suitable for further evaluation.
122,ronaad138,ronald adams,software engineer,select,select,50.2,100.0,17.25,50.35,50.2,67.7,Recommended,"java, python",None,This candidate shows good potential and is suitable for further evaluation.
123,leslst266,Leslie Stewart,Full Stack Developer,reject,select,53.04,100.0,15.07,49.04,53.04,67.68,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
124,kimbsc132,kimberly scott,product manager,reject,reject,52.9,100.0,19.46,51.68,47.1,67.68,Recommended,data analysis,None,This candidate shows good potential and is suitable for further evaluation.
125,kevitu230,Kevin Turner,Data Analyst,reject,select,53.02,100.0,15.07,49.04,53.02,67.67,Recommended,"python, tableau",None,This candidate shows good potential and is suitable for further evaluation.
126,branpe917,Brandon Perkins,Data Architect,reject,select,51.06,100.0,16.47,49.88,51.06,67.66,Recommended,etl,None,This candidate shows good potential and is suitable for further evaluation.
127,sarazi613,Sarah Zimmerman,Mobile App Developer,select,reject,54.31,100.0,20.47,52.28,45.69,67.66,Recommended,api,None,This candidate shows good potential and is suitable for further evaluation.
128,mirach632,mira chopra,ui engineer,reject,reject,50.14,100.0,17.37,50.42,49.86,67.66,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
129,diyajo590,diya joshi,data scientist,reject,select,60.66,100.0,9.35,45.61,60.66,67.66,Recommended,"machine learning, python, sql, tensorflow",None,This candidate shows good potential and is suitable for further evaluation.
130,tammto197,tammy townsend,data scientist,select,select,53.53,100.0,14.62,48.77,53.53,67.65,Recommended,"data visualization, deep learning, machine learning, python",None,This candidate shows good potential and is suitable for further evaluation.
131,susaar717,Susan Armstrong,Database Administrator,reject,reject,51.77,100.0,18.54,51.12,48.23,67.65,Recommended,sql,None,This candidate shows good potential and is suitable for further evaluation.
132,ishach862,ishaan chopra,data scientist,reject,select,59.58,100.0,10.12,46.07,59.58,67.65,Recommended,"machine learning, sql, statistics",None,This candidate shows good potential and is suitable for further evaluation.
133,aarach894,aarav chopra,data scientist,select,select,60.95,100.0,9.07,45.44,60.95,67.64,Recommended,"data visualization, deep learning, python, statistics",None,This candidate shows good potential and is suitable for further evaluation.
134,harsgu824,harshitha gupta,software engineer,reject,select,56.07,100.0,12.7,47.62,56.07,67.64,Recommended,"git, python",None,This candidate shows good potential and is suitable for further evaluation.
135,durgba123,Wendy Davidson,Data Scientist,select,reject,59.72,100.0,24.4,54.64,40.28,67.64,Recommended,"data visualization, machine learning, statistics",None,This candidate shows good potential and is suitable for further evaluation.
136,anthsh166,Anthony Sherman,Data Architect,reject,select,56.71,100.0,12.2,47.32,56.71,67.64,Recommended,etl,None,This candidate shows good potential and is suitable for further evaluation.
137,tylepa480,Tyler Patel,Mobile App Developer,reject,reject,54.7,100.0,20.69,52.41,45.3,67.64,Recommended,api,None,This candidate shows good potential and is suitable for further evaluation.
138,lisajo641,Lisa Johnston,Machine Learning Engineer,select,select,59.0,100.0,10.51,46.31,59.0,67.64,Recommended,machine learning,None,This candidate shows good potential and is suitable for further evaluation.
139,halejo854,haley jones,data scientist,reject,reject,52.25,100.0,18.82,51.29,47.75,67.63,Recommended,"data visualization, deep learning, machine learning, sql",None,This candidate shows good potential and is suitable for further evaluation.
140,melijo964,Melissa Jones,Cloud Architect,reject,select,51.41,100.0,16.09,49.65,51.41,67.62,Recommended,"aws, gcp",None,This candidate shows good potential and is suitable for further evaluation.
141,ananba44,ananya bansal,data engineer,select,select,57.46,100.0,11.54,46.92,57.46,67.61,Recommended,"aws, etl",None,This candidate shows good potential and is suitable for further evaluation.
142,tracsp148,Tracy Spencer,UI Engineer,select,select,63.94,100.0,6.76,44.06,63.94,67.61,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
143,durgba112,Kelly Henderson,Data Scientist,reject,reject,65.76,100.0,28.74,57.24,34.24,67.61,Recommended,"deep learning, machine learning, statistics",None,This candidate shows good potential and is suitable for further evaluation.
144,georkn585,George Knox,Product Manager,reject,select,51.67,100.0,15.82,49.49,51.67,67.6,Recommended,data analysis,None,This candidate shows good potential and is suitable for further evaluation.
145,jonba711,jon baker,software engineer,select,select,56.66,100.0,12.11,47.27,56.66,67.6,Recommended,python,None,This candidate shows good potential and is suitable for further evaluation.
146,kabisi546,kabir singh,data engineer,select,select,59.61,100.0,9.94,45.96,59.61,67.6,Recommended,"aws, etl, spark",None,This candidate shows good potential and is suitable for further evaluation.
147,KotaSai95,Tuhin Agarwal,Data Scientist,select,select,64.04,100.0,6.55,43.93,64.04,67.58,Recommended,"data analysis, machine learning",None,This candidate shows good potential and is suitable for further evaluation.
148,KotaSai122,Iksha Garg,Data Scientist,select,select,61.45,100.0,8.4,45.04,61.45,67.56,Recommended,"data analysis, machine learning",None,This candidate shows good potential and is suitable for further evaluation.
149,scothe274,Scott Hernandez,AI Researcher,select,select,61.21,100.0,8.59,45.15,61.21,67.56,Recommended,data science,None,This candidate shows good potential and is suitable for further evaluation.
150,tanvch102,tanvi chopra,product manager,select,select,54.09,100.0,13.81,48.29,54.09,67.55,Recommended,data analysis,None,This candidate shows good potential and is suitable for further evaluation.
151,tanvra918,tanvi rao,data engineer,reject,select,60.12,100.0,9.31,45.59,60.12,67.54,Recommended,"kubernetes, python",None,This candidate shows good potential and is suitable for further evaluation.
152,lisawi803,lisa williams,product manager,select,reject,52.84,100.0,18.93,51.36,47.16,67.54,Recommended,data analysis,None,This candidate shows good potential and is suitable for further evaluation.
153,rohajo466,rohan joshi,data engineer,select,select,61.65,100.0,8.19,44.91,61.65,67.54,Recommended,"aws, docker, etl",None,This candidate shows good potential and is suitable for further evaluation.
154,bradha221,bradley hawkins,data scientist,select,select,57.5,100.0,11.21,46.73,57.5,67.53,Recommended,"data visualization, python, sql, statistics",None,This candidate shows good potential and is suitable for further evaluation.
155,gabrth479,gabrielle thompson,software engineer,reject,select,55.13,100.0,12.95,47.77,55.13,67.52,Recommended,python,None,This candidate shows good potential and is suitable for further evaluation.
156,aditiy381,aditya iyer,ui engineer,select,select,50.22,100.0,16.39,49.83,50.22,67.47,Recommended,javascript,None,This candidate shows good potential and is suitable for further evaluation.
157,paulco770,Paul Cook,Machine Learning Engineer,reject,select,61.52,100.0,8.01,44.81,61.52,67.47,Recommended,machine learning,None,This candidate shows good potential and is suitable for further evaluation.
158,robeca269,Robert Carney,Database Administrator,reject,select,51.67,100.0,15.33,49.2,51.67,67.47,Recommended,sql,None,This candidate shows good potential and is suitable for further evaluation.
159,garybu242,Gary Burns,AI Researcher,select,select,51.37,100.0,15.51,49.31,51.37,67.46,Recommended,"computer vision, pytorch",None,This candidate shows good potential and is suitable for further evaluation.
