candidate_rank,ID,Name,Role,skill_match_score,text_similarity_score,overall_match_score,selection_probability,candidate_score,recommendation,matched_skills,missing_skills
83,kabish298,kabir sharma,ui engineer,100.0,16.37,49.82,53.34,68.09,Recommended,['javascript'],[]
84,ishaka309,ishaan kapoor,software engineer,100.0,12.96,47.78,57.89,68.08,Recommended,['javascript'],[]
85,uppaup464,Eve Smith,UI Engineer,100.0,25.26,55.16,41.23,68.07,Recommended,"['git', 'javascript']",[]
86,anthgr755,Anthony Graham,DevOps Engineer,100.0,10.41,46.25,61.31,68.07,Recommended,['docker'],[]
87,wendmu885,Wendy Murphy,Data Analyst,100.0,5.82,43.49,67.46,68.06,Recommended,['data science'],[]
88,richsm778,Richard Smith,Full Stack Developer,100.0,17.16,50.3,51.97,68.03,Recommended,['javascript'],[]
89,aditgu568,aditya gupta,product manager,100.0,13.43,48.06,56.94,68.02,Recommended,['data analysis'],[]
90,madist133,madison stephens,software engineer,100.0,18.58,51.15,49.97,68.01,Recommended,['python'],[]
91,tracmo329,Tracy Moore,Machine Learning Engineer,100.0,12.19,47.31,58.45,67.98,Recommended,"['feature engineering', 'machine learning', 'python', 'pytorch']",[]
92,aarame513,aarav mehta,data scientist,100.0,12.86,47.72,57.28,67.93,Recommended,"['deep learning', 'statistics']",[]
93,durgba062,Thomas Cline,Software Engineer,100.0,19.2,51.52,48.7,67.92,Recommended,['api'],[]
94,mirash643,mira sharma,data engineer,100.0,6.32,43.79,65.95,67.9,Recommended,"['aws', 'docker', 'kubernetes', 'sql']",[]
95,jonaco873,Jonathan Cooke,Data Architect,100.0,14.84,48.9,54.47,67.9,Recommended,['etl'],[]
96,daisro162,Daisy Rodriguez,AI Researcher,100.0,14.98,48.99,54.21,67.89,Recommended,['pytorch'],[]
97,kathho389,Kathy Hopkins,Cloud Architect,100.0,12.76,47.66,57.23,67.89,Recommended,"['aws', 'gcp']",[]
98,anangu51,ananya gupta,software engineer,100.0,8.9,45.34,62.44,67.89,Recommended,"['git', 'javascript']",[]
99,ishaka605,ishaan kapoor,data engineer,100.0,9.44,45.66,61.67,67.88,Recommended,"['aws', 'etl', 'kubernetes']",[]
100,jessfe435,Jessica Ferguson,Machine Learning Engineer,100.0,7.69,44.61,63.97,67.87,Recommended,['machine learning'],[]
101,harssh905,harshitha sharma,data engineer,100.0,9.13,45.48,61.92,67.85,Recommended,"['aws', 'etl', 'python']",[]
102,markwo178,Mark Wood,Machine Learning Engineer,100.0,9.18,45.51,61.86,67.85,Recommended,['machine learning'],[]
103,alexne807,Alexander Nelson,Full Stack Developer,100.0,16.54,49.92,51.84,67.83,Recommended,['javascript'],[]
104,caroev588,Caroline Evans,Machine Learning Engineer,100.0,9.29,45.57,61.6,67.83,Recommended,"['data science', 'machine learning']",[]
105,darrba132,Darrell Barrett,Machine Learning Engineer,100.0,10.13,46.08,60.43,67.82,Recommended,"['data analysis', 'machine learning']",[]
106,noahmo129,noah montgomery,data engineer,100.0,19.25,51.55,48.1,67.82,Recommended,"['etl', 'mlops', 'spark']",[]
107,amyca378,Amy Campbell,DevOps Engineer,100.0,11.08,46.65,59.03,67.8,Recommended,['docker'],[]
108,jennwr203,Jennifer Wright,AI Researcher,100.0,9.27,45.56,61.48,67.8,Recommended,['data science'],[]
109,adamde338,Adam Delgado,Software Engineer,100.0,8.1,44.86,63.04,67.8,Recommended,"['java', 'python']",[]
110,mirash960,mira sharma,software engineer,100.0,9.83,45.9,60.62,67.78,Recommended,"['java', 'javascript']",[]
111,robeca166,robert castillo,product manager,100.0,16.5,49.9,51.56,67.77,Recommended,['data analysis'],[]
112,lancfa779,Lance Farley,Machine Learning Engineer,100.0,9.83,45.9,60.57,67.77,Recommended,['machine learning'],[]
113,taylra368,taylor ramirez,ui engineer,100.0,24.36,54.62,40.97,67.77,Recommended,['javascript'],[]
114,ishash927,ishaan sharma,data scientist,100.0,7.87,44.72,63.2,67.76,Recommended,"['python', 'tensorflow']",[]
115,kabich167,kabir chopra,data scientist,100.0,11.1,46.66,58.8,67.76,Recommended,"['deep learning', 'statistics']",[]
116,harsjo785,harshitha joshi,ui engineer,100.0,15.97,49.58,52.15,67.74,Recommended,['javascript'],[]
117,heatvi321,Heather Villa,Full Stack Developer,100.0,17.38,50.43,50.17,67.73,Recommended,['javascript'],[]
118,diyaka783,diya kapoor,data scientist,100.0,9.63,45.78,60.58,67.72,Recommended,"['data visualization', 'machine learning', 'sql', 'tensorflow']",[]
119,karemo893,Karen Moore,AI Researcher,100.0,18.14,50.88,49.12,67.72,Recommended,['pytorch'],[]
120,harsch764,harshitha chopra,data engineer,100.0,9.95,45.97,60.15,67.72,Recommended,"['aws', 'docker']",[]
121,durgba171,Kayla Burch,Data Scientist,100.0,20.88,52.53,45.36,67.71,Recommended,"['data visualization', 'deep learning', 'machine learning']",[]
122,ronaad138,ronald adams,software engineer,100.0,17.25,50.35,50.2,67.7,Recommended,"['java', 'python']",[]
123,leslst266,Leslie Stewart,Full Stack Developer,100.0,15.07,49.04,53.04,67.68,Recommended,['javascript'],[]
124,kimbsc132,kimberly scott,product manager,100.0,19.46,51.68,47.1,67.68,Recommended,['data analysis'],[]
125,kevitu230,Kevin Turner,Data Analyst,100.0,15.07,49.04,53.02,67.67,Recommended,"['python', 'tableau']",[]
126,branpe917,Brandon Perkins,Data Architect,100.0,16.47,49.88,51.06,67.66,Recommended,['etl'],[]
127,sarazi613,Sarah Zimmerman,Mobile App Developer,100.0,20.47,52.28,45.69,67.66,Recommended,['api'],[]
128,mirach632,mira chopra,ui engineer,100.0,17.37,50.42,49.86,67.66,Recommended,['javascript'],[]
129,diyajo590,diya joshi,data scientist,100.0,9.35,45.61,60.66,67.66,Recommended,"['machine learning', 'python', 'sql', 'tensorflow']",[]
130,ishach862,ishaan chopra,data scientist,100.0,10.12,46.07,59.58,67.65,Recommended,"['machine learning', 'sql', 'statistics']",[]
131,tammto197,tammy townsend,data scientist,100.0,14.62,48.77,53.53,67.65,Recommended,"['data visualization', 'deep learning', 'machine learning', 'python']",[]
132,susaar717,Susan Armstrong,Database Administrator,100.0,18.54,51.12,48.23,67.65,Recommended,['sql'],[]
133,aarach894,aarav chopra,data scientist,100.0,9.07,45.44,60.95,67.64,Recommended,"['data visualization', 'deep learning', 'python', 'statistics']",[]
134,harsgu824,harshitha gupta,software engineer,100.0,12.7,47.62,56.07,67.64,Recommended,"['git', 'python']",[]
135,durgba123,Wendy Davidson,Data Scientist,100.0,24.4,54.64,40.28,67.64,Recommended,"['data visualization', 'machine learning', 'statistics']",[]
136,anthsh166,Anthony Sherman,Data Architect,100.0,12.2,47.32,56.71,67.64,Recommended,['etl'],[]
137,tylepa480,Tyler Patel,Mobile App Developer,100.0,20.69,52.41,45.3,67.64,Recommended,['api'],[]
138,lisajo641,Lisa Johnston,Machine Learning Engineer,100.0,10.51,46.31,59.0,67.64,Recommended,['machine learning'],[]
139,halejo854,haley jones,data scientist,100.0,18.82,51.29,47.75,67.63,Recommended,"['data visualization', 'deep learning', 'machine learning', 'sql']",[]
140,melijo964,Melissa Jones,Cloud Architect,100.0,16.09,49.65,51.41,67.62,Recommended,"['aws', 'gcp']",[]
141,durgba112,Kelly Henderson,Data Scientist,100.0,28.74,57.24,34.24,67.61,Recommended,"['deep learning', 'machine learning', 'statistics']",[]
142,tracsp148,Tracy Spencer,UI Engineer,100.0,6.76,44.06,63.94,67.61,Recommended,['javascript'],[]
143,ananba44,ananya bansal,data engineer,100.0,11.54,46.92,57.46,67.61,Recommended,"['aws', 'etl']",[]
144,georkn585,George Knox,Product Manager,100.0,15.82,49.49,51.67,67.6,Recommended,['data analysis'],[]
145,jonba711,jon baker,software engineer,100.0,12.11,47.27,56.66,67.6,Recommended,['python'],[]
146,kabisi546,kabir singh,data engineer,100.0,9.94,45.96,59.61,67.6,Recommended,"['aws', 'etl', 'spark']",[]
147,KotaSai95,Tuhin Agarwal,Data Scientist,100.0,6.55,43.93,64.04,67.58,Recommended,"['data analysis', 'machine learning']",[]
148,KotaSai122,Iksha Garg,Data Scientist,100.0,8.4,45.04,61.45,67.56,Recommended,"['data analysis', 'machine learning']",[]
149,scothe274,Scott Hernandez,AI Researcher,100.0,8.59,45.15,61.21,67.56,Recommended,['data science'],[]
150,tanvch102,tanvi chopra,product manager,100.0,13.81,48.29,54.09,67.55,Recommended,['data analysis'],[]
151,rohajo466,rohan joshi,data engineer,100.0,8.19,44.91,61.65,67.54,Recommended,"['aws', 'docker', 'etl']",[]
152,lisawi803,lisa williams,product manager,100.0,18.93,51.36,47.16,67.54,Recommended,['data analysis'],[]
153,tanvra918,tanvi rao,data engineer,100.0,9.31,45.59,60.12,67.54,Recommended,"['kubernetes', 'python']",[]
154,bradha221,bradley hawkins,data scientist,100.0,11.21,46.73,57.5,67.53,Recommended,"['data visualization', 'python', 'sql', 'statistics']",[]
155,gabrth479,gabrielle thompson,software engineer,100.0,12.95,47.77,55.13,67.52,Recommended,['python'],[]
156,aditiy381,aditya iyer,ui engineer,100.0,16.39,49.83,50.22,67.47,Recommended,['javascript'],[]
157,paulco770,Paul Cook,Machine Learning Engineer,100.0,8.01,44.81,61.52,67.47,Recommended,['machine learning'],[]
158,robeca269,Robert Carney,Database Administrator,100.0,15.33,49.2,51.67,67.47,Recommended,['sql'],[]
159,garybu242,Gary Burns,AI Researcher,100.0,15.51,49.31,51.37,67.46,Recommended,"['computer vision', 'pytorch']",[]
160,kennst146,Kenneth Stevens,Machine Learning Engineer,100.0,12.77,47.66,55.0,67.45,Recommended,['machine learning'],[]
161,deanha231,Deanna Hall,Machine Learning Engineer,100.0,17.42,50.45,48.63,67.43,Recommended,"['feature engineering', 'machine learning', 'pytorch']",[]
162,lesltu372,Leslie Turner,Data Scientist,100.0,5.26,43.16,65.01,67.42,Recommended,['data science'],[]
163,rohach680,rohan chopra,data scientist,100.0,12.52,47.51,55.17,67.41,Recommended,"['machine learning', 'python']",[]
164,broojo720,brooke jones,data scientist,100.0,19.3,51.58,45.92,67.4,Recommended,"['machine learning', 'python', 'sql', 'statistics']",[]
165,kabiiy634,kabir iyer,data engineer,100.0,9.24,45.54,59.45,67.38,Recommended,"['etl', 'spark', 'sql']",[]
166,dianpe726,Diana Perez,AI Researcher,100.0,14.05,48.43,52.9,67.37,Recommended,['computer vision'],[]
167,chriyo549,christina young,ui engineer,100.0,21.72,53.03,42.52,67.37,Recommended,['javascript'],[]
168,jennri428,Jenny Ritter,Machine Learning Engineer,100.0,10.21,46.13,58.01,67.36,Recommended,['machine learning'],[]
169,tanvka639,tanvi kapoor,data scientist,100.0,10.61,46.37,57.45,67.36,Recommended,"['data visualization', 'deep learning', 'tensorflow']",[]
170,harsiy332,harshitha iyer,software engineer,100.0,10.14,46.08,58.13,67.36,Recommended,"['javascript', 'python']",[]
171,susady633,Susan Dyer,AI Researcher,100.0,15.48,49.29,50.86,67.35,Recommended,['computer vision'],[]
172,rohara528,rohan rao,data engineer,100.0,12.1,47.26,55.43,67.35,Recommended,"['aws', 'etl', 'sql']",[]
173,ishach576,ishaan chopra,ui engineer,100.0,14.26,48.56,52.5,67.35,Recommended,['javascript'],[]
174,aditgu407,aditya gupta,software engineer,100.0,10.23,46.14,57.91,67.34,Recommended,"['java', 'python']",[]
175,jennla501,Jennifer Lawrence,Machine Learning Engineer,100.0,7.5,44.5,61.57,67.34,Recommended,['machine learning'],[]
176,willro947,william rowe,ui engineer,100.0,18.84,51.3,46.27,67.34,Recommended,['javascript'],[]
177,willfi323,william fitzgerald,product manager,100.0,14.22,48.53,52.46,67.33,Recommended,['data analysis'],[]
178,collco588,Colleen Cooper,Machine Learning Engineer,100.0,15.46,49.28,50.69,67.31,Recommended,"['machine learning', 'pytorch']",[]
179,ananjo895,ananya joshi,data engineer,100.0,13.76,48.26,52.9,67.3,Recommended,"['etl', 'spark']",[]
180,curtco385,Curtis Cortez,Data Analyst,100.0,5.62,43.37,63.93,67.3,Recommended,['data science'],[]
181,harssh377,harshitha sharma,data engineer,100.0,10.42,46.25,57.46,67.3,Recommended,"['etl', 'kubernetes', 'sql']",[]
182,aditsi450,aditya singh,product manager,100.0,12.74,47.64,54.25,67.29,Recommended,['data analysis'],[]
183,joseol597,joseph olson,product manager,100.0,19.17,51.5,45.55,67.28,Recommended,['data analysis'],[]
184,KotaSai60,Ilesh Kaur,Data Scientist,100.0,7.29,44.37,61.56,67.28,Recommended,"['data analysis', 'machine learning']",[]
185,johnro328,john ross,ui engineer,100.0,22.08,53.25,41.57,67.28,Recommended,['javascript'],[]
186,jessro164,jessica robles,data scientist,100.0,14.14,48.48,52.28,67.27,Recommended,"['data visualization', 'machine learning', 'sql', 'statistics']",[]
187,ishagu105,ishaan gupta,data scientist,100.0,12.15,47.29,54.9,67.26,Recommended,"['data visualization', 'deep learning', 'machine learning']",[]
188,amyme959,Amy Medina,Data Scientist,100.0,11.11,46.67,56.28,67.26,Recommended,"['machine learning', 'sql', 'statistics']",[]
189,annahu783,anna hunt,data scientist,100.0,19.21,51.53,45.33,67.25,Recommended,"['deep learning', 'machine learning', 'python', 'statistics']",[]
190,durgba011,Randy Hoffman,Data Engineer,100.0,22.87,53.72,40.39,67.25,Recommended,['etl'],[]
191,rohagu539,rohan gupta,data scientist,100.0,9.63,45.78,58.23,67.25,Recommended,"['data visualization', 'machine learning', 'sql', 'statistics']",[]
192,kabika952,kabir kapoor,data scientist,100.0,11.81,47.09,55.27,67.24,Recommended,"['data visualization', 'machine learning']",[]
193,keviva850,Kevin Valenzuela,Machine Learning Engineer,100.0,11.05,46.63,56.27,67.24,Recommended,"['feature engineering', 'machine learning', 'python']",[]
194,rohasi90,rohan singh,data engineer,100.0,7.78,44.67,60.69,67.24,Recommended,"['docker', 'kubernetes', 'python', 'spark']",[]
195,petene268,Peter Nelson,Product Manager,100.0,11.38,46.83,55.82,67.24,Recommended,['data analysis'],[]
196,amybo662,Amy Boyd,Data Architect,100.0,13.42,48.05,53.09,67.24,Recommended,['etl'],[]
197,diyajo906,diya joshi,product manager,100.0,13.35,48.01,53.11,67.23,Recommended,['data analysis'],[]
198,anansh155,ananya sharma,ui engineer,100.0,15.83,49.5,49.78,67.23,Recommended,['javascript'],[]
199,tanvra320,tanvi rao,software engineer,100.0,13.65,48.19,52.7,67.23,Recommended,"['javascript', 'python']",[]
200,hannpe223,Hannah Peterson,Machine Learning Engineer,100.0,7.4,44.44,61.14,67.23,Recommended,['machine learning'],[]
201,ishaiy343,ishaan iyer,data scientist,100.0,16.75,50.05,48.47,67.22,Recommended,"['data visualization', 'deep learning']",[]
202,uppaup18,Grace Williams,Product Manager,100.0,23.43,54.06,39.47,67.22,Recommended,['data analysis'],[]
203,angech169,angela chandler,ui engineer,100.0,17.91,50.75,46.9,67.22,Recommended,['javascript'],[]
204,clinfr254,clinton frank,ui engineer,100.0,22.35,53.41,40.93,67.22,Recommended,['javascript'],[]
205,kennbl658,Kenneth Blair,Data Scientist,100.0,11.03,46.62,56.16,67.21,Recommended,"['machine learning', 'python', 'tensorflow']",[]
206,KotaSai129,Palash Sharma,Data Scientist,100.0,9.93,45.96,57.63,67.21,Recommended,"['data analysis', 'machine learning']",[]
207,rohash806,rohan sharma,product manager,100.0,11.25,46.75,55.81,67.2,Recommended,['data analysis'],[]
208,edwaca675,Edward Cameron,Machine Learning Engineer,100.0,8.61,45.17,59.37,67.2,Recommended,"['data science', 'machine learning']",[]
209,ericry741,Erica Ryan,Machine Learning Engineer,100.0,8.66,45.2,59.32,67.2,Recommended,['machine learning'],[]
210,uppaup2,Hank Brown,Software Engineer,100.0,7.66,44.6,60.53,67.18,Recommended,"['java', 'python']",[]
211,michgl776,Michelle Glover,Machine Learning Engineer,100.0,11.99,47.19,54.71,67.18,Recommended,"['feature engineering', 'machine learning', 'python', 'tensorflow']",[]
212,kabika244,kabir kapoor,data engineer,100.0,7.7,44.62,60.42,67.16,Recommended,"['aws', 'python']",[]
213,connha691,Connor Hawkins,Data Analyst,100.0,11.19,46.71,55.71,67.16,Recommended,"['power bi', 'tableau']",[]
214,aditra935,aditya rao,data scientist,100.0,10.39,46.23,56.76,67.16,Recommended,"['data visualization', 'deep learning', 'python', 'statistics']",[]
215,victba504,Victoria Bailey,Data Analyst,100.0,5.54,43.32,63.34,67.16,Recommended,['data science'],[]
216,mattgr139,Matthew Graham,Machine Learning Engineer,100.0,10.65,46.39,56.36,67.15,Recommended,['machine learning'],[]
217,chribo284,Christopher Bolton,Machine Learning Engineer,100.0,9.96,45.98,57.3,67.15,Recommended,['machine learning'],[]
218,uppaup354,Grace Taylor,UI Engineer,100.0,17.67,50.6,46.84,67.14,Recommended,"['git', 'javascript']",[]
219,amanha516,Amanda Hansen,AI Researcher,100.0,13.16,47.9,52.91,67.14,Recommended,"['computer vision', 'pytorch']",[]
220,mistpe126,Misty Peterson,Data Architect,100.0,13.48,48.09,52.5,67.14,Recommended,['etl'],[]
221,harsme439,harshitha mehta,software engineer,100.0,9.85,45.91,57.34,67.13,Recommended,"['java', 'javascript']",[]
222,stepbr390,Stephen Bradley,Software Engineer,100.0,6.97,44.18,61.25,67.13,Recommended,['java'],[]
223,jennma818,Jennifer Maldonado,Software Engineer,100.0,9.15,45.49,58.29,67.13,Recommended,['java'],[]
224,KotaSai61,Brinda Verma,Data Scientist,100.0,5.64,43.38,63.01,67.12,Recommended,"['data analysis', 'machine learning']",[]
225,jasoga493,jason garcia,data engineer,100.0,21.42,52.85,41.69,67.12,Recommended,"['etl', 'mlops']",[]
226,durgba063,Kimberly Prince,Software Engineer,100.0,20.38,52.23,43.1,67.12,Recommended,"['api', 'java']",[]
227,KotaSai36,Namrata Mishra,Data Scientist,100.0,5.92,43.55,62.54,67.11,Recommended,"['data analysis', 'machine learning']",[]
228,jasofo257,Jason Fox,Machine Learning Engineer,100.0,8.42,45.05,59.21,67.11,Recommended,['machine learning'],[]
